Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
51.3014025529,4.35518958437;"{""type"": ""Point"", ""coordinates"": [4.355189584369737, 51.30140255293859]}";182;BE00182;FNTA2;ANTW-N-TOEA2;ANTW-N-TOEA2;ANTWERPEN-NOORD-TOEGANG A2;ANTWERPEN-NOORD-TOEGANG A2;Antw-N-ToeA2;Antw-N-ToeA2;Antw-Nd-Toegang A2;Antw-Nd-Toegang A2;Antwerpen-Noord-Toegang A2;Antwerpen-Noord-Toegang A2;Rooster;Gril;Gril
50.4041996047,4.43843931757;"{""type"": ""Point"", ""coordinates"": [4.438439317574264, 50.40419960473317]}";259;BE00259;FCR;CHARL-SUD;CHARL-SUD;CHARLEROI-SUD;CHARLEROI-SUD;Charl-Sud;Charl-Zuid;Charleroi-Sud;Charleroi-Zuid;Charleroi-Sud;Charleroi-Zuid;Station;Gare;Gare
50.8710207629,4.71955552206;"{""type"": ""Point"", ""coordinates"": [4.719555522064123, 50.87102076291591]}";20;BE00020;YTIVO;Y.TIVOLI;Y.TIVOLI;Y.TIVOLI;Y.TIVOLI;Y.Tivoli;Y.Tivoli;Y.Tivoli;Y.Tivoli;Y.Tivoli;Y.Tivoli;Vertakking;Bifurcation;Bifurcation
50.747235108,6.01043401493;"{""type"": ""Point"", ""coordinates"": [6.01043401493145, 50.74723510801334]}";197;BE00197;BOTZ;BOTZELAER;BOTZELAER;BOTZELAER;BOTZELAER;Botzelaer;Botzelaer;Botzelaer;Botzelaer;Botzelaer;Botzelaer;Rooster;Gril;Gril
50.5435231957,4.01076331258;"{""type"": ""Point"", ""coordinates"": [4.010763312579892, 50.54352319565545]}";902;BE00902;FFV;NEUFVILLES;NEUFVILLES;NEUFVILLES;NEUFVILLES;Neufvilles;Neufvilles;Neufvilles;Neufvilles;Neufvilles;Neufvilles;Stopplaats;Point d'arrêt;Point d'arrêt
51.2955442928,4.36107569161;"{""type"": ""Point"", ""coordinates"": [4.361075691614523, 51.29554429278185]}";50;BE00050;FNDG9;ANTW-ND-G9H9;ANTW-ND-G9H9;ANTWERPEN-NOORD-BLOK G9-H9;ANTWERPEN-NOORD-BLOK G9-H9;Antw-Nd-G9H9;Antw-Nd-G9H9;Antw-Nd-Blok G9-H9;Antw-Nd-Blok G9-H9;Antwerpen-Noord-Blok G9-H9;Antwerpen-Noord-Blok G9-H9;Rooster;Gril;Gril
50.7184731906,6.04125976452;"{""type"": ""Point"", ""coordinates"": [6.041259764524805, 50.71847319064385]}";598;BE00598;REGFR;HERGENR-FR;HERGENR-FR;HERGENRATH-FRONTIERE;HERGENRATH-FRONTIERE;Hergenr-Fr;Hergenr-Fr;Hergenrath-Frontière;Hergenrath-Frontière;Hergenrath-Frontière;Hergenrath-Frontière;Netgrens;Frontière du réseau;Frontière du réseau
51.0772661297,2.60240109043;"{""type"": ""Point"", ""coordinates"": [2.602401090431054, 51.07726612970774]}";13;BE00013;FDK;DE PANNE;DE PANNE;DE PANNE;DE PANNE;La Panne;De Panne;La Panne;De Panne;La Panne;De Panne;Station;Gare;Gare
50.8940706619,4.41026828683;"{""type"": ""Point"", ""coordinates"": [4.410268286826409, 50.894070661868966]}";2005;BE02005;FSRRG;SCHAERBEEK-G;SCHAARBEEK-G;SCHAERBEEK-GRIL G;SCHAARBEEK-ROOSTER G;Schaerbeek-G;Schaarbeek-G;Schaerbeek-Gril G;Schaarbeek-Rooster G;Schaerbeek-Gril G;Schaarbeek-Rooster G;Rooster;Gril;Gril
50.6376982676,5.84411984789;"{""type"": ""Point"", ""coordinates"": [5.844119847892482, 50.6376982675839]}";853;BE00853;LTI;THIMISTER-CL;THIMISTER-CL;THIMISTER-CLERMONT;THIMISTER-CLERMONT;Thimister-Cl;Thimister-Cl;Thimister-Clermont;Thimister-Clermont;Thimister-Clermont;Thimister-Clermont;Rooster;Gril;Gril
51.2623251285,4.34352575105;"{""type"": ""Point"", ""coordinates"": [4.343525751054309, 51.262325128452446]}";95;BE00095;PETRO;PETROL;PETROL;ANTWERPEN-D.S.-PETROL;ANTWERPEN-D.S.-PETROL;Petrol;Petrol;Antw-DS-Petrol;Antw-DS-Petrol;Antwerpen-D.S.-Petrol;Antwerpen-D.S.-Petrol;Station;Gare;Gare
50.8506023455,3.60067125177;"{""type"": ""Point"", ""coordinates"": [3.600671251771683, 50.850602345463564]}";939;BE00939;FDN;OUDENAARDE;OUDENAARDE;OUDENAARDE;OUDENAARDE;Audenarde;Oudenaarde;Audenarde;Oudenaarde;Audenarde;Oudenaarde;Station;Gare;Gare
51.025848984,3.75377986514;"{""type"": ""Point"", ""coordinates"": [3.753779865138406, 51.02584898402534]}";1597;BE01597;YLBGO;Y.O.LEDEBERG;Y.O.LEDEBERG;Y.OOST DRIEHOEK LEDEBERG;Y.OOST DRIEHOEK LEDEBERG;Y.O.Ledeberg;Y.O.Ledeberg;Y.Oost Dr.Ledeberg;Y.Oost Dr.Ledeberg;Y.Oost Driehoek Ledeberg;Y.Oost Driehoek Ledeberg;Vertakking;Bifurcation;Bifurcation
50.6295141419,3.35548377638;"{""type"": ""Point"", ""coordinates"": [3.355483776379128, 50.62951414192798]}";427;BE00427;GFY;FROYENNES;FROYENNES;FROYENNES;FROYENNES;Froyennes;Froyennes;Froyennes;Froyennes;Froyennes;Froyennes;Station;Gare;Gare
50.1894522235,5.95399590412;"{""type"": ""Point"", ""coordinates"": [5.953995904124521, 50.18945222347008]}";477;BE00477;FVY;GOUVY;GOUVY;GOUVY;GOUVY;Gouvy;Gouvy;Gouvy;Gouvy;Gouvy;Gouvy;Station;Gare;Gare
50.4691699093,4.86913358344;"{""type"": ""Point"", ""coordinates"": [4.869133583442661, 50.46916990933968]}";913;BE00913;FNRHB;NAMUR-HERB;NAMUR-HERB;NAMUR-HERBATTE;NAMUR-HERBATTE;Namur-Herb;Namur-Herb;Namur-Herbatte;Namur-Herbatte;Namur-Herbatte;Namur-Herbatte;Station;Gare;Gare
50.210804055,4.96465087693;"{""type"": ""Point"", ""coordinates"": [4.964650876926349, 50.21080405501204]}";442;BE00442;MGN;GENDRON-CELL;GENDRON-CELL;GENDRON-CELLES;GENDRON-CELLES;Gendron-Cell;Gendron-Cell;Gendron-Celles;Gendron-Celles;Gendron-Celles;Gendron-Celles;Station;Gare;Gare
50.6717735729,4.57037399072;"{""type"": ""Point"", ""coordinates"": [4.570373990720785, 50.67177357290992]}";936;BE00936;LT;OTTIGNIES;OTTIGNIES;OTTIGNIES;OTTIGNIES;Ottignies;Ottignies;Ottignies;Ottignies;Ottignies;Ottignies;Station;Gare;Gare
51.3193729012,4.34946436187;"{""type"": ""Point"", ""coordinates"": [4.349464361868275, 51.31937290121236]}";1614;BE01614;YSTBK;Y.STABROEK;Y.STABROEK;Y.STABROEK;Y.STABROEK;Y.Stabroek;Y.Stabroek;Y.Stabroek;Y.Stabroek;Y.Stabroek;Y.Stabroek;Vertakking;Bifurcation;Bifurcation
51.2648703968,4.36677815099;"{""type"": ""Point"", ""coordinates"": [4.366778150991907, 51.26487039683778]}";1671;BE01671;KONGO;KONGO;KONGO;ANTWERPEN-D.S.-KONGO;ANTWERPEN-D.S.-KONGO;Kongo;Kongo;Antw-DS-Kongo;Antw-DS-Kongo;Antwerpen-D.S.-Kongo;Antwerpen-D.S.-Kongo;Station;Gare;Gare
51.3232700002,4.93818999532;"{""type"": ""Point"", ""coordinates"": [4.938189995320888, 51.32327000020805]}";1161;BE01161;FTR;TURNHOUT;TURNHOUT;TURNHOUT;TURNHOUT;Turnhout;Turnhout;Turnhout;Turnhout;Turnhout;Turnhout;Station;Gare;Gare
50.8766100004,5.67288999502;"{""type"": ""Point"", ""coordinates"": [5.672889995019655, 50.87661000044981]}";1297;BE01297;GLKGR;LANAKEN-GR;LANAKEN-GR;LANAKEN-GRENS;LANAKEN-GRENS;Lanaken-Gr;Lanaken-Gr;Lanaken-Grens;Lanaken-Grens;Lanaken-Grens;Lanaken-Grens;Netgrens;Frontière du réseau;Frontière du réseau
50.6972213438,4.04726047682;"{""type"": ""Point"", ""coordinates"": [4.047260476817823, 50.697221343813695]}";360;BE00360;FNG;ENGHIEN;EDINGEN;ENGHIEN;EDINGEN;Enghien;Edingen;Enghien;Edingen;Enghien;Edingen;Station;Gare;Gare
50.6102331576,4.53956963606;"{""type"": ""Point"", ""coordinates"": [4.539569636060643, 50.61023315755684]}";692;BE00692;GLR;LA ROCHE;LA ROCHE;LA ROCHE(BRABANT);LA ROCHE(BRABANT);La Roche;La Roche;La Roche(Brabant);La Roche(Brabant);La Roche(Brabant);La Roche(Brabant);Station;Gare;Gare
50.746658276,4.25364920681;"{""type"": ""Point"", ""coordinates"": [4.253649206810013, 50.746658275971775]}";505;BE00505;YFHN;Y.ND HALLE;Y.ND HALLE;Y.NOORD HALLE;Y.NOORD HALLE;Y.Nd Halle;Y.Nd Halle;Y.Noord Halle;Y.Noord Halle;Y.Noord Halle;Y.Noord Halle;Vertakking;Bifurcation;Bifurcation
50.993420022,5.05006647269;"{""type"": ""Point"", ""coordinates"": [5.050066472691093, 50.99342002198616]}";326;BE00326;FDT;DIEST;DIEST;DIEST;DIEST;Diest;Diest;Diest;Diest;Diest;Diest;Station;Gare;Gare
50.7994600175,3.11388719953;"{""type"": ""Point"", ""coordinates"": [3.113887199533717, 50.79946001751345]}";820;BE00820;FME;MENEN;MENEN;MENEN;MENEN;Menin;Menen;Menin;Menen;Menin;Menen;Station;Gare;Gare
51.2472549501,5.55536373881;"{""type"": ""Point"", ""coordinates"": [5.555363738810342, 51.24725495010673]}";513;BE00513;GHAGR;HAMONT-GRENS;HAMONT-GRENS;HAMONT-GRENS;HAMONT-GRENS;Hamont-Grens;Hamont-Grens;Hamont-Grens;Hamont-Grens;Hamont-Grens;Hamont-Grens;Netgrens;Frontière du réseau;Frontière du réseau
50.6255582389,5.56537965188;"{""type"": ""Point"", ""coordinates"": [5.565379651876697, 50.625558238942766]}";726;BE00726;FL;LIEGE-GUILL;LIEGE-GUILL;LIEGE-GUILLEMINS;LIEGE-GUILLEMINS;Liège-Guill;Luik-Guill;Liège-Guillemins;Luik-Guillemins;Liège-Guillemins;Luik-Guillemins;Station;Gare;Gare
50.784178121,5.47398181721;"{""type"": ""Point"", ""coordinates"": [5.473981817206645, 50.78417812102591]}";1151;BE01151;FTG;TONGEREN;TONGEREN;TONGEREN;TONGEREN;Tongres;Tongeren;Tongres;Tongeren;Tongres;Tongeren;Station;Gare;Gare
51.3536217088,4.2791071849;"{""type"": ""Point"", ""coordinates"": [4.279107184904984, 51.353621708825294]}";1257;BE01257;YFRDK;Y.FREDERIK;Y.FREDERIK;Y.FREDERIK;Y.FREDERIK;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Vertakking;Bifurcation;Bifurcation
50.8812045751,4.33292341099;"{""type"": ""Point"", ""coordinates"": [4.332923410989734, 50.881204575125366]}";621;BE00621;FJT;JETTE;JETTE;JETTE;JETTE;Jette;Jette;Jette;Jette;Jette;Jette;Station;Gare;Gare
51.3897394154,4.46670091137;"{""type"": ""Point"", ""coordinates"": [4.466700911374677, 51.389739415445284]}";630;BE00630;FKTH;KALMTHOUT;KALMTHOUT;KALMTHOUT;KALMTHOUT;Kalmthout;Kalmthout;Kalmthout;Kalmthout;Kalmthout;Kalmthout;Station;Gare;Gare
50.496828764,5.09596548028;"{""type"": ""Point"", ""coordinates"": [5.095965480276989, 50.49682876402181]}";25;BE00025;NDN;ANDENNE;ANDENNE;ANDENNE;ANDENNE;Andenne;Andenne;Andenne;Andenne;Andenne;Andenne;Station;Gare;Gare
51.2049470003,5.2459499952;"{""type"": ""Point"", ""coordinates"": [5.24594999520181, 51.204947000284555]}";108;BE00108;GBW;BALEN-WERKPL;BALEN-WERKPL;BALEN-WERKPLAATSEN;BALEN-WERKPLAATSEN;Balen-Usines;Balen-Werkpl;Balen-Usines;Balen-Werkplaatsen;Balen-Usines;Balen-Werkplaatsen;Station;Gare;Gare
50.6916922041,4.20581147649;"{""type"": ""Point"", ""coordinates"": [4.205811476492248, 50.691692204058306]}";1160;BE01160;FTZ;TUBIZE;TUBIZE;TUBIZE;TUBIZE;Tubize;Tubeke;Tubize;Tubeke;Tubize;Tubeke;Station;Gare;Gare
51.0739166168,2.66975048761;"{""type"": ""Point"", ""coordinates"": [2.669750487607315, 51.07391661681005]}";1181;BE01181;FVU;VEURNE;VEURNE;VEURNE;VEURNE;Furnes;Veurne;Furnes;Veurne;Furnes;Veurne;Station;Gare;Gare
50.9005855463,4.41084548401;"{""type"": ""Point"", ""coordinates"": [4.410845484006567, 50.900585546320265]}";1363;BE01363;FSR14;SCHAERB-814;SCHAARB-814;SCHAERBEEK-CUL DE SAC 814;SCHAARBEEK-DOODSPOOR 814;Schaerb-814;Schaarb-814;Schaerbeek-Cds 814;Schaarbeek-Dsp 814;Schaerbeek-Cul de sac 814;Schaarbeek-Doodspoor 814;Station;Gare;Gare
50.3027050852,4.10918065513;"{""type"": ""Point"", ""coordinates"": [4.109180655125435, 50.30270508515019]}";370;BE00370;LQFR;ERQUELINN-FR;ERQUELINN-FR;ERQUELINNES-FRONTIERE;ERQUELINNES-FRONTIERE;Erquelinn-Fr;Erquelinn-Fr;Erquelinnes-Front;Erquelinnes-Front;Erquelinnes-Frontière;Erquelinnes-Frontière;Netgrens;Frontière du réseau;Frontière du réseau
50.8889514355,4.40853540376;"{""type"": ""Point"", ""coordinates"": [4.408535403760527, 50.88895143545411]}";1120;BE01120;FSRR;SCHAERB-GR.R;SCHAARB-GR.R;SCHAERBEEK-GROUPE R;SCHAARBEEK-GROEP R;Schaerb-Gr.R;Schaarb-Gr.R;Schaerbeek-Groupe R;Schaarbeek-Groep R;Schaerbeek-Groupe R;Schaarbeek-Groep R;Station;Gare;Gare
51.3580599402,4.63402949118;"{""type"": ""Point"", ""coordinates"": [4.634029491177575, 51.35805994024299]}";1839;BE01839;NDK;NOORD'KEMPEN;NOORD'KEMPEN;NOORDERKEMPEN;NOORDERKEMPEN;Noord'kempen;Noord'kempen;Noorderkempen;Noorderkempen;Noorderkempen;Noorderkempen;Station;Gare;Gare
51.4690987703,4.44891021562;"{""type"": ""Point"", ""coordinates"": [4.448910215617879, 51.46909877028303]}";377;BE00377;FESGR;ESSEN-GRENS;ESSEN-GRENS;ESSEN-GRENS;ESSEN-GRENS;Essen-Grens;Essen-Grens;Essen-Grens;Essen-Grens;Essen-Grens;Essen-Grens;Netgrens;Frontière du réseau;Frontière du réseau
50.4700216331,4.01641027092;"{""type"": ""Point"", ""coordinates"": [4.016410270922394, 50.47002163309975]}";921;BE00921;LRGG;OBOURG-MARCH;OBOURG-MARCH;OBOURG-MARCHANDISES;OBOURG-MARCHANDISES;Obourg-March;Obourg-March;Obourg-Marchandises;Obourg-Marchandises;Obourg-Marchandises;Obourg-Marchandises;Station;Gare;Gare
50.9241435968,4.43281375044;"{""type"": ""Point"", ""coordinates"": [4.432813750440923, 50.92414359681925]}";1192;BE01192;FVV;VILVOORDE;VILVOORDE;VILVOORDE;VILVOORDE;Vilvorde;Vilvoorde;Vilvorde;Vilvoorde;Vilvorde;Vilvoorde;Station;Gare;Gare
51.1927331895,4.43789720006;"{""type"": ""Point"", ""coordinates"": [4.437897200063802, 51.192733189489516]}";1506;BE01506;YBSTA;Y.BERCHEM-ST;Y.BERCHEM-ST;Y.BERCHEM-STADION;Y.BERCHEM-STADION;Y.Berchem-St;Y.Berchem-St;Y.Berchem-Stadion;Y.Berchem-Stadion;Y.Berchem-Stadion;Y.Berchem-Stadion;Vertakking;Bifurcation;Bifurcation
50.930582048,3.63943405316;"{""type"": ""Point"", ""coordinates"": [3.639434053161934, 50.930582047961764]}";434;BE00434;FGA;GAVERE-ASPER;GAVERE-ASPER;GAVERE-ASPER;GAVERE-ASPER;Gavere-Asper;Gavere-Asper;Gavere-Asper;Gavere-Asper;Gavere-Asper;Gavere-Asper;Station;Gare;Gare
51.2442679702,4.36627165761;"{""type"": ""Point"", ""coordinates"": [4.366271657608022, 51.24426797020023]}";94;BE00094;IJSLD;IJSLAND;IJSLAND;ANTWERPEN-D.S.-IJSLAND;ANTWERPEN-D.S.-IJSLAND;Ijsland;Ijsland;Antw-DS-Ijsland;Antw-DS-Ijsland;Antwerpen-D.S.-Ijsland;Antwerpen-D.S.-Ijsland;Station;Gare;Gare
51.3221610732,4.34979445987;"{""type"": ""Point"", ""coordinates"": [4.349794459870457, 51.322161073185676]}";1507;BE01507;YBDHT;Y.BERENDR;Y.BERENDR;Y.BERENDRECHT;Y.BERENDRECHT;Y.Berendr;Y.Berendr;Y.Berendrecht;Y.Berendrecht;Y.Berendrecht;Y.Berendrecht;Vertakking;Bifurcation;Bifurcation
50.25045779,5.19295482513;"{""type"": ""Point"", ""coordinates"": [5.192954825130899, 50.25045779003982]}";196;BE00196;MHVG;HAVERSIN-GAR;HAVERSIN-GAR;HAVERSIN-GARAGE;HAVERSIN-GARAGE;Haversin-Gar;Haversin-Gar;Haversin-Garage;Haversin-Garage;Haversin-Garage;Haversin-Garage;Station;Gare;Gare
51.2650945353,4.37826757588;"{""type"": ""Point"", ""coordinates"": [4.378267575875827, 51.265094535339514]}";1664;BE01664;YLEOP;Y.LEOPOLD;Y.LEOPOLD;Y.LEOPOLD;Y.LEOPOLD;Y.Leopold;Y.Leopold;Y.Leopold;Y.Leopold;Y.Leopold;Y.Leopold;Vertakking;Bifurcation;Bifurcation
51.2908860002,4.38141588525;"{""type"": ""Point"", ""coordinates"": [4.381415885247153, 51.29088600018006]}";21;BE00021;RNUC1;ANTW-N-UITC1;ANTW-N-UITC1;ANTWERPEN-NOORD-UITRIT C1;ANTWERPEN-NOORD-UITRIT C1;Antw-N-UitC1;Antw-N-UitC1;Antw-Nd-Uitrit C1;Antw-Nd-Uitrit C1;Antwerpen-Noord-Uitrit C1;Antwerpen-Noord-Uitrit C1;Rooster;Gril;Gril
51.003126163,3.92143307808;"{""type"": ""Point"", ""coordinates"": [3.92143307808412, 51.0031261630313]}";1058;BE01058;FCB;SCHELLEBELLE;SCHELLEBELLE;SCHELLEBELLE;SCHELLEBELLE;Schellebelle;Schellebelle;Schellebelle;Schellebelle;Schellebelle;Schellebelle;Station;Gare;Gare
51.2838705811,4.33039812872;"{""type"": ""Point"", ""coordinates"": [4.330398128715759, 51.28387058107649]}";1667;BE01667;YMSTF;Y.MEESTOOF;Y.MEESTOOF;Y.MEESTOOF;Y.MEESTOOF;Y.Meestoof;Y.Meestoof;Y.Meestoof;Y.Meestoof;Y.Meestoof;Y.Meestoof;Vertakking;Bifurcation;Bifurcation
50.4525632357,3.88516978551;"{""type"": ""Point"", ""coordinates"": [3.885169785512604, 50.45256323571253]}";615;BE00615;FJM;JEMAPPES;JEMAPPES;JEMAPPES;JEMAPPES;Jemappes;Jemappes;Jemappes;Jemappes;Jemappes;Jemappes;Station;Gare;Gare
49.563854761,5.82922458971;"{""type"": ""Point"", ""coordinates"": [5.829224589707234, 49.563854760977755]}";78;BE00078;MH;ATHUS;ATHUS;ATHUS;ATHUS;Athus;Athus;Athus;Athus;Athus;Athus;Station;Gare;Gare
51.30106987,4.30862497741;"{""type"": ""Point"", ""coordinates"": [4.308624977411559, 51.301069870006195]}";1669;BE01669;YBYER;Y.BAYER;Y.BAYER;Y.BAYER;Y.BAYER;Y.Bayer;Y.Bayer;Y.Bayer;Y.Bayer;Y.Bayer;Y.Bayer;Vertakking;Bifurcation;Bifurcation
50.3009025762,4.39208797802;"{""type"": ""Point"", ""coordinates"": [4.392087978021356, 50.300902576169676]}";288;BE00288;LUH;COUR-HEURE;COUR-HEURE;COUR-SUR-HEURE;COUR-SUR-HEURE;Cour-Heure;Cour-Heure;Cour-sur-Heure;Cour-sur-Heure;Cour-sur-Heure;Cour-sur-Heure;Station;Gare;Gare
50.489275845,5.86622758259;"{""type"": ""Point"", ""coordinates"": [5.866227582590072, 50.48927584499166]}";459;BE00459;FSSG;GERONSTERE;GERONSTERE;SPA-GERONSTERE;SPA-GERONSTERE;Géronstère;Géronstère;Spa-Géronstère;Spa-Géronstère;Spa-Géronstère;Spa-Géronstère;Station;Gare;Gare
51.3033642404,4.30561544921;"{""type"": ""Point"", ""coordinates"": [4.305615449214228, 51.30336424037867]}";1676;BE01676;YWIMO;Y.WITTEMOLEN;Y.WITTEMOLEN;Y.WITTEMOLEN;Y.WITTEMOLEN;Y.Wittemolen;Y.Wittemolen;Y.Wittemolen;Y.Wittemolen;Y.Wittemolen;Y.Wittemolen;Vertakking;Bifurcation;Bifurcation
50.6593706461,5.97426722042;"{""type"": ""Point"", ""coordinates"": [5.974267220421457, 50.65937064610769]}";1226;BE01226;GWK;WELKENRAEDT;WELKENRAEDT;WELKENRAEDT;WELKENRAEDT;Welkenraedt;Welkenraedt;Welkenraedt;Welkenraedt;Welkenraedt;Welkenraedt;Station;Gare;Gare
50.5720245963,3.27845109791;"{""type"": ""Point"", ""coordinates"": [3.278451097905422, 50.57202459632969]}";373;BE00373;ESPFR;ESPLECHIN-FR;ESPLECHIN-FR;ESPLECHIN-FRONTIERE;ESPLECHIN-FRONTIERE;Esplechin-Fr;Esplechin-Fr;Esplechin-Frontière;Esplechin-Frontière;Esplechin-Frontière;Esplechin-Frontière;Netgrens;Frontière du réseau;Frontière du réseau
51.2888386363,4.35347967742;"{""type"": ""Point"", ""coordinates"": [4.353479677421141, 51.2888386362689]}";1678;BE01678;YORDM;Y.ORDAM;Y.ORDAM;Y.ORDAM;Y.ORDAM;Y.Ordam;Y.Ordam;Y.Ordam;Y.Ordam;Y.Ordam;Y.Ordam;Vertakking;Bifurcation;Bifurcation
50.9641801334,5.1854206257;"{""type"": ""Point"", ""coordinates"": [5.185420625696775, 50.96418013344263]}";1061;BE01061;GSU;SCHULEN;SCHULEN;SCHULEN;SCHULEN;Schulen;Schulen;Schulen;Schulen;Schulen;Schulen;Stopplaats;Point d'arrêt;Point d'arrêt
49.5562669358,5.8200121264;"{""type"": ""Point"", ""coordinates"": [5.820012126395852, 49.55626693577622]}";1502;BE01502;YAUBG;Y.AUBANGE;Y.AUBANGE;Y.AUBANGE;Y.AUBANGE;Y.Aubange;Y.Aubange;Y.Aubange;Y.Aubange;Y.Aubange;Y.Aubange;Vertakking;Bifurcation;Bifurcation
50.6174355899,3.2636772037;"{""type"": ""Point"", ""coordinates"": [3.263677203695403, 50.61743558985715]}";165;BE00165;BLAFR;BLANDAIN-FR;BLANDAIN-FR;BLANDAIN-FRONTIERE;BLANDAIN-FRONTIERE;Blandain-Fr;Blandain-Fr;Blandain-Frontière;Blandain-Frontière;Blandain-Frontière;Blandain-Frontière;Netgrens;Frontière du réseau;Frontière du réseau
50.6847591412,4.37582344522;"{""type"": ""Point"", ""coordinates"": [4.375823445224938, 50.68475914121917]}";203;BE00203;FBD;BRAINE-L'ALL;BRAINE-L'ALL;BRAINE-L'ALLEUD;BRAINE-L'ALLEUD;Braine-l'All;Eigenbrakel;Braine-l'Alleud;Eigenbrakel;Braine-l'Alleud;Eigenbrakel;Station;Gare;Gare
49.5516562623,5.82501582555;"{""type"": ""Point"", ""coordinates"": [5.825015825554518, 49.55165626225915]}";83;BE00083;AUFRL;AUBANGE-FR-L;AUBANGE-FR-L;AUBANGE-FRONTIERE-LUXEMBOURG;AUBANGE-FRONTIERE-LUXEMBOURG;Aubange-Fr-L;Aubange-Fr-L;Aubange-Front-Lux;Aubange-Front-Lux;Aubange-Frontière-Luxembourg;Aubange-Frontière-Luxembourg;Netgrens;Frontière du réseau;Frontière du réseau
51.291486618,4.3997880566;"{""type"": ""Point"", ""coordinates"": [4.399788056600454, 51.29148661800838]}";181;BE00181;FNTA1;ANTW-N-TOEA1;ANTW-N-TOEA1;ANTWERPEN-NOORD-TOEGANG A1;ANTWERPEN-NOORD-TOEGANG A1;Antw-N-ToeA1;Antw-N-ToeA1;Antw-Nd-Toegang A1;Antw-Nd-Toegang A1;Antwerpen-Noord-Toegang A1;Antwerpen-Noord-Toegang A1;Rooster;Gril;Gril
50.8682065671,4.40135506249;"{""type"": ""Point"", ""coordinates"": [4.401355062494662, 50.868206567146835]}";383;BE00383;GEV;EVERE;EVERE;EVERE;EVERE;Evere;Evere;Evere;Evere;Evere;Evere;Stopplaats;Point d'arrêt;Point d'arrêt
51.3739455572,4.26536735917;"{""type"": ""Point"", ""coordinates"": [4.265367359174448, 51.373945557184186]}";1429;BE01429;BASF;ANTW-DS-BASF;ANTW-DS-BASF;ANTWERPEN-D.S.-BASF;ANTWERPEN-D.S.-BASF;Antw-DS-BASF;Antw-DS-BASF;Antw-DS-BASF;Antw-DS-BASF;Antwerpen-D.S.-BASF;Antwerpen-D.S.-BASF;Station;Gare;Gare
50.7033269862,5.30451262496;"{""type"": ""Point"", ""coordinates"": [5.304512624955293, 50.703326986222294]}";309;BE00309;RPS;POUSSET;POUSSET;POUSSET;POUSSET;Pousset;Pousset;Pousset;Pousset;Pousset;Pousset;Rooster;Gril;Gril
50.594638933,5.45631595476;"{""type"": ""Point"", ""coordinates"": [5.456315954764329, 50.59463893303155]}";402;BE00402;LFH;FLEMALLE-HTE;FLEMALLE-HTE;FLEMALLE-HAUTE;FLEMALLE-HAUTE;Flémalle-Hte;Flémalle-Hte;Flémalle-Haute;Flémalle-Haute;Flémalle-Haute;Flémalle-Haute;Station;Gare;Gare
50.5552235815,4.35746974914;"{""type"": ""Point"", ""coordinates"": [4.357469749138835, 50.55522358152752]}";1745;BE01745;BUZET;BUZET;BUZET;BUZET;BUZET;Buzet;Buzet;Buzet;Buzet;Buzet;Buzet;Rooster;Gril;Gril
51.3013538227,4.33917306152;"{""type"": ""Point"", ""coordinates"": [4.339173061520603, 51.30135382265021]}";1556;BE01556;YOLIL;Y.O.LILLO;Y.O.LILLO;Y.OOST DRIEHOEK LILLO;Y.OOST DRIEHOEK LILLO;Y.O.Lillo;Y.O.Lillo;Y.Oost Dr.Lillo;Y.Oost Dr.Lillo;Y.Oost Driehoek Lillo;Y.Oost Driehoek Lillo;Vertakking;Bifurcation;Bifurcation
49.6612596219,5.6082213525;"{""type"": ""Point"", ""coordinates"": [5.608221352496697, 49.661259621949895]}";431;BE00431;GANT;GANTAUFET-ZG;GANTAUFET-ZG;GANTAUFET-ZONING;GANTAUFET-ZONING;Gantaufet-Zg;Gantaufet-Zg;Gantaufet-Zoning;Gantaufet-Zoning;Gantaufet-Zoning;Gantaufet-Zoning;Station;Gare;Gare
49.7274201479,5.53975533358;"{""type"": ""Point"", ""coordinates"": [5.539755333578617, 49.72742014792397]}";786;BE00786;LMH;MARBEHAN;MARBEHAN;MARBEHAN;MARBEHAN;Marbehan;Marbehan;Marbehan;Marbehan;Marbehan;Marbehan;Station;Gare;Gare
50.173016137,5.96539326522;"{""type"": ""Point"", ""coordinates"": [5.965393265224009, 50.17301613700065]}";478;BE00478;FVYFR;GOUVY-FR;GOUVY-FR;GOUVY-FRONTIERE;GOUVY-FRONTIERE;Gouvy-Fr;Gouvy-Fr;Gouvy-Frontière;Gouvy-Frontière;Gouvy-Frontière;Gouvy-Frontière;Netgrens;Frontière du réseau;Frontière du réseau
50.4351168197,4.2861293507;"{""type"": ""Point"", ""coordinates"": [4.286129350702145, 50.43511681974366]}";962;BE00962;LPT;PIETON;PIETON;PIETON;PIETON;Piéton;Piéton;Piéton;Piéton;Piéton;Piéton;Station;Gare;Gare
